department_id,department_name_ko,representative_score_mean,representative_score_median,university_count,score_record_count
D01,건축학과,3.021111111111111,2.86,9,9
D02,국어국문학과,3.812,3.705,10,10
D03,심리학과,2.7883333333333336,2.635,6,6
D04,기계공학과,3.35875,3.1399999999999997,8,8
D05,화학과,3.07625,3.04,8,8
D06,산업공학과,3.236666666666667,3.05,3,3
D07,신소재공학과,3.0524999999999998,2.535,4,4
D08,조선해양공학과,6.133333333333333,6.93,3,3
D09,의예과,1.2463636363636363,1.15,11,11
D10,수학과,3.54375,3.375,8,8
D11,경영학과,2.711111111111111,2.5,9,9
D12,약학과,1.2555555555555555,1.23,9,9
D13,사회학과,3.46375,3.19,8,8
D14,경제학과,3.74,3.495,8,8
D15,생명과학과,3.382857142857143,3.33,7,7
D16,미디어커뮤니케이션학과,2.845,2.685,6,6
D17,화학공학과,3.106666666666667,2.4450000000000003,6,6
D18,디자인학과,4.489999999999999,4.12,6,6
D19,식품영양학과,3.505714285714286,3.22,7,7
D20,간호학과,2.4563636363636365,2.25,11,11
D21,전기전자공학과,3.007142857142857,3.04,7,7
D22,사학과,3.5840000000000005,3.5,10,10
D23,응용통계학과,3.3966666666666665,3.13,6,6
D24,컴퓨터공학과,2.8240000000000003,2.92,5,5
