department_id,department_name_ko,hclust_average_k2_refined_weighted,hclust_average_k3_refined_weighted,hclust_average_k4_refined_weighted,hclust_average_k5_refined_weighted,hclust_average_k6_refined_weighted,hclust_average_k7_refined_weighted,hclust_average_k8_refined_weighted,hclust_complete_k2_refined_weighted,hclust_complete_k3_refined_weighted,hclust_complete_k4_refined_weighted,hclust_complete_k5_refined_weighted,hclust_complete_k6_refined_weighted,hclust_complete_k7_refined_weighted,hclust_complete_k8_refined_weighted,hclust_average_k2_refined_binary,hclust_average_k3_refined_binary,hclust_average_k4_refined_binary,hclust_average_k5_refined_binary,hclust_average_k6_refined_binary,hclust_average_k7_refined_binary,hclust_average_k8_refined_binary,kmeans_k2_refined_weighted,kmeans_k3_refined_weighted,kmeans_k4_refined_weighted,kmeans_k5_refined_weighted,kmeans_k6_refined_weighted,kmeans_k7_refined_weighted,kmeans_k8_refined_weighted,kmeans_k2_refined_binary,kmeans_k3_refined_binary,kmeans_k4_refined_binary,kmeans_k5_refined_binary,kmeans_k6_refined_binary,kmeans_k7_refined_binary,kmeans_k8_refined_binary
D01,건축학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D02,국어국문학과,2,3,3,4,5,6,7,1,1,1,1,1,1,1,2,3,3,4,5,6,7,2,1,3,2,6,3,7,2,1,3,2,6,3,7
D03,심리학과,2,2,2,2,2,3,3,2,3,3,4,5,6,7,2,2,2,2,2,3,3,2,1,3,2,1,1,3,2,1,3,2,1,1,3
D04,기계공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,4,1,4,2,8,1,3,4,1,4,2,8
D05,화학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D06,산업공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,2,3,1,4,5,2,6,2,3,1,4,5,2,6
D07,신소재공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D08,조선해양공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D09,의예과,1,1,1,1,1,1,1,2,3,4,5,6,7,8,1,1,1,1,1,1,1,1,2,2,3,2,5,5,1,2,2,3,2,5,5
D10,수학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,1,4,5,7,6,1,3,1,4,5,7,6
D11,경영학과,2,2,2,2,3,4,4,1,1,1,2,2,3,3,2,2,2,2,3,4,4,2,1,3,5,3,6,4,2,1,3,5,3,6,4
D12,약학과,1,1,1,1,1,1,1,2,3,4,5,6,7,8,1,1,1,1,1,1,1,1,2,2,3,2,5,5,1,2,2,3,2,5,5
D13,사회학과,2,2,2,2,2,3,3,2,3,3,4,5,6,7,2,2,2,2,2,3,3,2,1,3,2,1,1,1,2,1,3,2,1,1,1
D14,경제학과,2,2,2,2,3,4,4,1,1,1,2,2,3,3,2,2,2,2,3,4,4,2,1,3,5,3,6,4,2,1,3,5,3,6,4
D15,생명과학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D16,미디어커뮤니케이션학과,2,2,2,2,3,4,5,1,1,1,2,2,3,3,2,2,2,2,3,4,5,2,1,3,2,1,3,3,2,1,3,2,1,3,3
D17,화학공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,5,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D18,디자인학과,2,3,4,5,6,7,8,1,1,1,1,1,2,2,2,3,4,5,6,7,8,2,1,3,2,6,3,7,2,1,3,2,6,3,7
D19,식품영양학과,1,1,1,1,1,2,2,2,3,4,5,6,7,8,1,1,1,1,1,2,2,1,2,4,1,4,4,2,1,2,4,1,4,4,2
D20,간호학과,1,1,1,1,1,1,1,2,3,4,5,6,7,8,1,1,1,1,1,1,1,1,2,2,3,2,5,5,1,2,2,3,2,5,5
D21,전기전자공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,4,1,4,2,8,1,3,4,1,4,2,8
D22,사학과,2,2,2,3,4,5,6,1,1,1,2,3,4,4,2,2,2,3,4,5,6,2,1,3,2,1,1,1,2,1,3,2,1,1,1
D23,응용통계학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,1,4,5,7,6,1,3,1,4,5,7,6
D24,컴퓨터공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,1,4,5,2,8,1,3,1,4,5,2,8
D25,자동차공학과,1,1,1,1,1,2,2,2,2,2,3,4,5,6,1,1,1,1,1,2,2,1,3,4,1,4,2,8,1,3,4,1,4,2,8
