course,document_frequency,idf
과학의 역사와 문화,1,3.2189
교육의 이해,1,3.2189
기후변화와 환경생태,1,3.2189
논리와 사고,1,3.2189
독서 토론과 글쓰기,1,3.2189
미디어 영어,1,3.2189
미술,1,3.2189
미술 창작,1,3.2189
생활과학 탐구,1,3.2189
언어 생활과 한자,1,3.2189
여행지리,1,3.2189
연극,1,3.2189
영어 독해오작문,1,3.2189
지식 재산 일반,1,3.2189
직무 의사소통,1,3.2189
한문,1,3.2189
화학 실험,1,3.2189
기후변화와 지속가능한 세계,2,2.5257
논술,2,2.5257
동아시아 역사 기행,2,2.5257
매체 의사소통,2,2.5257
문학과 영상,2,2.5257
미술 감상과 비평,2,2.5257
미술과 매체,2,2.5257
미적분I,2,2.5257
미적분II,2,2.5257
보건,2,2.5257
생명과학 실험,2,2.5257
수학과 문화,2,2.5257
실생활 영어 회화,2,2.5257
언어생활 탐구,2,2.5257
역사로 탐구하는 현대 세계,2,2.5257
영어 발표와 토론,2,2.5257
영어I,2,2.5257
영어II,2,2.5257
영어Ⅰ,2,2.5257
영어Ⅱ,2,2.5257
제2외국어 과목,2,2.5257
제2외국어 문화 과목,2,2.5257
주제 탐구 독서,2,2.5257
지구과학,2,2.5257
지구시스템과학,2,2.5257
한국지리 탐구,2,2.5257
경제 수학,3,2.1203
국제 관계의 이해,3,2.1203
금융과 경제생활,3,2.1203
도시의 미래 탐구,3,2.1203
세계 문화와 영어,3,2.1203
영어 독해와 작문,3,2.1203
인간과 심리,3,2.1203
정치,3,2.1203
기술·가정,4,1.8326
윤리문제 탐구,4,1.8326
인문학과 윤리,4,1.8326
화법과 언어,4,1.8326
경제,5,1.6094
문학,5,1.6094
세계사,5,1.6094
세계시민과 지리,5,1.6094
인공지능 수학,5,1.6094
독서와 작문,6,1.4271
생물의 유전,6,1.4271
소프트웨어와 생활,6,1.4271
수학과제 탐구,6,1.4271
윤리와 사상,6,1.4271
창의공학 설계,6,1.4271
현대사회와 윤리,6,1.4271
로봇과 공학세계,7,1.273
법과 사회,7,1.273
실용 통계,7,1.273
사회문제 탐구,8,1.1394
인공지능 기초,8,1.1394
데이터 과학,9,1.0217
세포와 물질대사,9,1.0217
전자기와 양자,9,1.0217
역학과 에너지,10,0.9163
융합과학 탐구,10,0.9163
물리학,12,0.734
사회와 문화,12,0.734
생명과학,12,0.734
물질과 에너지,13,0.6539
화학,13,0.6539
화학 반응의 세계,13,0.6539
미적분Ⅱ,14,0.5798
기하,15,0.5108
미적분Ⅰ,15,0.5108
정보,16,0.4463
대수,17,0.3857
확률과 통계,21,0.1744
