department_id,department_name_ko,broad_category,boundary_flag,include_in_cardsort,note
D01,건축학과,공학/설계,1,1,공학과 디자인/계획 사이의 boundary case
D02,국어국문학과,인문,0,1,인문 계열 기준 학과
D03,심리학과,사회/인문,1,1,사회과학과 인문 사이의 boundary case
D04,기계공학과,공학,0,1,수학/물리 기반 공학 기준 학과
D05,화학과,자연과학,1,1,화학 중심 자연과학 학과
D06,산업공학과,공학/경영,1,1,공학과 경영/데이터 사이의 boundary case
D07,신소재공학과,공학,1,1,화학/재료 기반 공학 학과
D08,조선해양공학과,산업특화공학,1,1,울산 지역 산업 맥락을 반영한 applied engineering boundary case
D09,의예과,의약/보건,0,1,생명/화학 기반 보건의료 학과
D10,수학과,자연과학/정량,1,1,통계/컴퓨팅/공학과 연결되는 정량 학과
D11,경영학과,사회,0,1,상담 비교에서 자주 등장하는 사회계열 학과
D12,약학과,의약/자연과학,1,1,화학/생명 기반 의약 boundary case
D13,사회학과,사회,0,1,사회과학 기준 학과
D14,경제학과,사회/정량,1,1,수학/통계와 연결되는 사회과학 boundary case
D15,생명과학과,자연과학,1,1,생명 중심 자연과학 학과
D16,미디어커뮤니케이션학과,사회/인문,1,1,사회과학/인문/미디어 사이의 boundary case
D17,화학공학과,공학/자연과학,1,1,화학과 공학 사이의 boundary case
D18,디자인학과,예체능/디자인,1,1,건축/미디어와 연결되는 디자인 boundary case
D19,식품영양학과,자연과학/보건,1,1,생명/간호/식품 분야와 연결되는 학과
D20,간호학과,의약/보건,1,1,보건의료 상담 관련성이 높은 학과
D21,전기전자공학과,공학,0,1,수학/물리/정보 기반 공학 학과
D22,사학과,인문,0,1,인문 계열 기준 학과
D23,응용통계학과,자연과학/사회,1,1,수학/경제/데이터 분석과 연결되는 boundary case
D24,컴퓨터공학과,공학/정보,1,1,정보/수학 기반 공학 학과
D25,자동차공학과,산업특화공학,1,1,울산 지역 산업 맥락을 반영한 applied engineering boundary case
